symbol,name,table,group,manner,place,voice,page,audio,chart
m,Voiced bilabial nasal,pulmonic,Labial,Nasal,Bilabial,voiced,https://en.wikipedia.org/wiki/Voiced_bilabial_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a9/Bilabial_nasal.ogg/Bilabial_nasal.ogg.mp3,m
ɱ,Voiced labiodental nasal,pulmonic,Labial,Nasal,Labiodental,voiced,https://en.wikipedia.org/wiki/Voiced_labiodental_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/18/Labiodental_nasal.ogg/Labiodental_nasal.ogg.mp3,ɱ
n,Voiced alveolar nasal,pulmonic,Coronal,Nasal,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/29/Alveolar_nasal.ogg/Alveolar_nasal.ogg.mp3,n
ɳ,Voiced retroflex nasal,pulmonic,Coronal,Nasal,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/af/Retroflex_nasal.ogg/Retroflex_nasal.ogg.mp3,ɳ
ɲ,Voiced palatal nasal,pulmonic,Dorsal,Nasal,(Alveolo-)palatal,voiced,https://en.wikipedia.org/wiki/Voiced_palatal_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/46/Palatal_nasal.ogg/Palatal_nasal.ogg.mp3,ɲ
ŋ,Voiced velar nasal,pulmonic,Dorsal,Nasal,Velar,voiced,https://en.wikipedia.org/wiki/Voiced_velar_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/39/Velar_nasal.ogg/Velar_nasal.ogg.mp3,ŋ
ɴ,Voiced uvular nasal,pulmonic,Dorsal,Nasal,Uvular,voiced,https://en.wikipedia.org/wiki/Voiced_uvular_nasal,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/3e/Uvular_nasal.ogg/Uvular_nasal.ogg.mp3,ɴ
p,Voiceless bilabial plosive,pulmonic,Labial,Plosive,Bilabial,voiceless,https://en.wikipedia.org/wiki/Voiceless_bilabial_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/51/Voiceless_bilabial_plosive.ogg/Voiceless_bilabial_plosive.ogg.mp3,p
b,Voiced bilabial plosive,pulmonic,Labial,Plosive,Bilabial,voiced,https://en.wikipedia.org/wiki/Voiced_bilabial_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/2c/Voiced_bilabial_plosive.ogg/Voiced_bilabial_plosive.ogg.mp3,b
t,Voiceless alveolar plosive,pulmonic,Coronal,Plosive,Alveolar,voiceless,https://en.wikipedia.org/wiki/Voiceless_alveolar_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/02/Voiceless_alveolar_plosive.ogg/Voiceless_alveolar_plosive.ogg.mp3,t
d,Voiced alveolar plosive,pulmonic,Coronal,Plosive,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/01/Voiced_alveolar_plosive.ogg/Voiced_alveolar_plosive.ogg.mp3,d
ʈ,Voiceless retroflex plosive,pulmonic,Coronal,Plosive,Retroflex,voiceless,https://en.wikipedia.org/wiki/Voiceless_retroflex_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b0/Voiceless_retroflex_stop.oga/Voiceless_retroflex_stop.oga.mp3,ʈ
ɖ,Voiced retroflex plosive,pulmonic,Coronal,Plosive,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/27/Voiced_retroflex_stop.oga/Voiced_retroflex_stop.oga.mp3,ɖ
c,Voiceless palatal plosive,pulmonic,Dorsal,Plosive,(Alveolo-)palatal,voiceless,https://en.wikipedia.org/wiki/Voiceless_palatal_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/5d/Voiceless_palatal_plosive.ogg/Voiceless_palatal_plosive.ogg.mp3,c
ɟ,Voiced palatal plosive,pulmonic,Dorsal,Plosive,(Alveolo-)palatal,voiced,https://en.wikipedia.org/wiki/Voiced_palatal_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/1d/Voiced_palatal_plosive.ogg/Voiced_palatal_plosive.ogg.mp3,ɟ
k,Voiceless velar plosive,pulmonic,Dorsal,Plosive,Velar,voiceless,https://en.wikipedia.org/wiki/Voiceless_velar_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e3/Voiceless_velar_plosive.ogg/Voiceless_velar_plosive.ogg.mp3,k
ɡ,Voiced velar plosive,pulmonic,Dorsal,Plosive,Velar,voiced,https://en.wikipedia.org/wiki/Voiced_velar_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/12/Voiced_velar_plosive_02.ogg/Voiced_velar_plosive_02.ogg.mp3,ɡ
q,Voiceless uvular plosive,pulmonic,Dorsal,Plosive,Uvular,voiceless,https://en.wikipedia.org/wiki/Voiceless_uvular_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/19/Voiceless_uvular_plosive.ogg/Voiceless_uvular_plosive.ogg.mp3,q
ɢ,Voiced uvular plosive,pulmonic,Dorsal,Plosive,Uvular,voiced,https://en.wikipedia.org/wiki/Voiced_uvular_plosive,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b6/Voiced_uvular_stop.oga/Voiced_uvular_stop.oga.mp3,ɢ
