symbol,place,manner,voicing
m̥,bilabial,nasal,voiceless
m,bilabial,nasal,voiced
ɱ̊,labiodental,nasal,voiceless
ɱ,labiodental,nasal,voiced
n̼,linguolabial,nasal,voiced
n̪̊,dental,nasal,voiceless
n̪,dental,nasal,voiced
n̥,alveolar,nasal,voiceless
n,alveolar,nasal,voiced
n̠̊,postalveolar,nasal,voiceless
n̠,postalveolar,nasal,voiced
ɳ̊,retroflex,nasal,voiceless
ɳ,retroflex,nasal,voiced
ɲ̊,palatal,nasal,voiceless
ɲ,palatal,nasal,voiced
ŋ̊,velar,nasal,voiceless
ŋ,velar,nasal,voiced
ɴ̥,uvular,nasal,voiceless
ɴ,uvular,nasal,voiced
p,bilabial,plosive,voiceless
b,bilabial,plosive,voiced
p̪,labiodental,plosive,voiceless
b̪,labiodental,plosive,voiced
t̼,linguolabial,plosive,voiceless
d̼,linguolabial,plosive,voiced
t̪,dental,plosive,voiceless
d̪,dental,plosive,voiced
t,alveolar,plosive,voiceless
d,alveolar,plosive,voiced
ʈ,retroflex,plosive,voiceless
ɖ,retroflex,plosive,voiced
c,palatal,plosive,voiceless
ɟ,palatal,plosive,voiced
k,velar,plosive,voiceless
ɡ,velar,plosive,voiced
q,uvular,plosive,voiceless
ɢ,uvular,plosive,voiced
ʡ,pharyngeal-epiglottal,plosive,voiceless
ʔ,glottal,plosive,voiced
s̪,dental,sibilant-fricative,voiceless
z̪,dental,sibilant-fricative,voiced
s,alveolar,sibilant-fricative,voiceless
z,alveolar,sibilant-fricative,voiced
ʃ,postalveolar,sibilant-fricative,voiceless
ʒ,postalveolar,sibilant-fricative,voiced
ʂ,retroflex,sibilant-fricative,voiceless
ʐ,retroflex,sibilant-fricative,voiced
ɕ,palatal,sibilant-fricative,voiceless
ʑ,palatal,sibilant-fricative,voiced
ɸ,bilabial,non-sibilant-fricative,voiceless
β,bilabial,non-sibilant-fricative,voiced
f,labiodental,non-sibilant-fricative,voiceless
v,labiodental,non-sibilant-fricative,voiced
θ̼,linguolabial,non-sibilant-fricative,voiceless
ð̼,linguolabial,non-sibilant-fricative,voiced
θ,dental,non-sibilant-fricative,voiceless
ð,dental,non-sibilant-fricative,voiced
θ̠,alveolar,non-sibilant-fricative,voiceless
ð̠,alveolar,non-sibilant-fricative,voiced
ɹ̠̊˔,postalveolar,non-sibilant-fricative,voiceless
ɹ̠˔,postalveolar,non-sibilant-fricative,voiced
ɻ̊˔,retroflex,non-sibilant-fricative,voiceless
ɻ˔,retroflex,non-sibilant-fricative,voiced
ç,palatal,non-sibilant-fricative,voiceless
ʝ,palatal,non-sibilant-fricative,voiced
x,velar,non-sibilant-fricative,voiceless
ɣ,velar,non-sibilant-fricative,voiced
χ,uvular,non-sibilant-fricative,voiceless
ʁ,uvular,non-sibilant-fricative,voiced
ħ,pharyngeal-epiglottal,non-sibilant-fricative,voiceless
ʕ,pharyngeal-epiglottal,non-sibilant-fricative,voiced
h,glottal,non-sibilant-fricative,voiceless
ɦ,glottal,non-sibilant-fricative,voiced
β̞,bilabial,approximant,voiced
ʋ,labiodental,approximant,voiced
ð̞,dental,approximant,voiced
ɹ,alveolar,approximant,voiced
ɹ̠,postalveolar,approximant,voiced
ɻ,retroflex,approximant,voiced
j,palatal,approximant,voiced
ɰ,velar,approximant,voiced
˷,glottal,approximant,voiced
ⱱ̟,bilabial,tap-flap,voiced
ⱱ,labiodental,tap-flap,voiced
ɾ̥,alveolar,tap-flap,voiceless
ɾ,alveolar,tap-flap,voiced
ɽ̊,retroflex,tap-flap,voiceless
ɽ,retroflex,tap-flap,voiced
ɢ̆,uvular,tap-flap,voiced
ʡ̮,pharyngeal-epiglottal,tap-flap,voiceless
ʙ̥,bilabial,trill,voiceless
ʙ,bilabial,trill,voiced
r̥,alveolar,trill,voiceless
r,alveolar,trill,voiced
r̠,postalveolar,trill,voiced
ɽ̊r̥,retroflex,trill,voiceless
ɽr,retroflex,trill,voiced
ʀ̥,uvular,trill,voiceless
ʀ,uvular,trill,voiced
ʜ,pharyngeal-epiglottal,trill,voiceless
ʢ,pharyngeal-epiglottal,trill,voiced
ɬ̪,dental,lateral-fricative,voiceless
ɬ,alveolar,lateral-fricative,voiceless
ɮ,alveolar,lateral-fricative,voiced
ꞎ,retroflex,lateral-fricative,voiced
𝼅,retroflex,lateral-fricative,voiced
𝼆,palatal,lateral-fricative,voiced
ʎ̝,palatal,lateral-fricative,voiced
𝼄,velar,lateral-fricative,voiced
ʟ̝,velar,lateral-fricative,voiced
l̪,dental,lateral-approximant,voiced
l̥,alveolar,lateral-approximant,voiceless
l,alveolar,lateral-approximant,voiced
l̠,postalveolar,lateral-approximant,voiced
ɭ̊,retroflex,lateral-approximant,voiceless
ɭ,retroflex,lateral-approximant,voiced
ʎ̥,palatal,lateral-approximant,voiceless
ʎ,palatal,lateral-approximant,voiced
ʟ̥,velar,lateral-approximant,voiceless
ʟ,velar,lateral-approximant,voiced
ʟ̠,uvular,lateral-approximant,voiced
ɺ̥,alveolar,lateral-tap-flap,voiceless
ɺ,alveolar,lateral-tap-flap,voiced
𝼈̥,retroflex,lateral-tap-flap,voiceless
𝼈,retroflex,lateral-tap-flap,voiced
ʎ̮,palatal,lateral-tap-flap,voiced
ʟ̆,velar,lateral-tap-flap,voiced
ʍ,labial-velar,fricative-approximant,voiceless
w,labial-velar,fricative-approximant,voiced
ɥ,labial-palatal,fricative-approximant,voiced
ɧ,,,voiceless
ɫ,,,voiced
ɓ,,voiced,voiced
ɗ,,voiced,voiced
ᶑ,,voiced,voiced
ʄ,,voiced,voiced
ɠ,,voiced,voiced
ʛ,,voiced,voiced
ɓ̥,,voiceless,voiceless
ɗ̥,,voiceless,voiceless
ᶑ̥,,voiceless,voiceless
ʄ̥,,voiceless,voiceless
ɠ̊,,voiceless,voiceless
ʛ̥,,voiceless,voiceless
pʼ,,stop,voiceless
tʼ,,stop,voiceless
ʈʼ,,stop,voiceless
cʼ,,stop,voiceless
kʼ,,stop,voiceless
qʼ,,stop,voiceless
fʼ,,fricative,voiceless
sʼ,,fricative,voiceless
ʂʼ,,fricative,voiceless
ɕʼ,,fricative,voiceless
xʼ,,fricative,voiceless
χʼ,,fricative,voiceless
ɸʼ,,,voiceless
θʼ,,,voiceless
ʃʼ,,,voiceless
𝼈̊,retroflex,lateral-tap-flap,voiceless
ɓ,bl,voiced,voiced
