talk,ipa,kind,note
m~h!,ɱ̊,consonant,ejective
m~,ɱ,consonant,dental/labiodental
p~,p̪,consonant,dental/labiodental
b~,b̪,consonant,dental/labiodental
D,ɖ,consonant,retroflex
s~,s̪,consonant,dental/labiodental
z~,z̪,consonant,dental/labiodental
S~,ɬ̪,consonant,dental/labiodental
l~,l̪,consonant,dental/labiodental
b?,ɓ,consonant,implosive
d?,ɗ,consonant,implosive
g?y~,ʄ,consonant,implosive
g?,ɠ,consonant,implosive
b?h!,ɓ̥,consonant,implosive
t?,ɗ̥,consonant,implosive
g?y~h!,ʄ̥,consonant,implosive
g?h!,ɠ̊,consonant,implosive
T!,ʈʼ,consonant,ejective
ky~!,cʼ,consonant,ejective
K!,qʼ,consonant,ejective
X!,ʂʼ,consonant,ejective
xy~!,ɕʼ,consonant,ejective
H!,xʼ,consonant,ejective
F!,ɸʼ,consonant,ejective
S!,ɬʼ,consonant,ejective
c*,𝼊,consonant,click
K*,ʞ,consonant,click
