symbol,type,meaning,state,talk
ʰ,secondary articulation,aspirated,mapped,h~
ʷ,secondary articulation,labialized,mapped,w~
ʲ,secondary articulation,palatalized,mapped,y~
ˠ,secondary articulation,velarized,mapped,G~
ˤ,secondary articulation,pharyngealized,mapped,Q~
ⁿ,secondary articulation,nasal release,mapped,n
̥,phonation,voiceless,mapped,h!
̬,phonation,voiced,mapped,
̤,phonation,breathy voice,ignored,
̰,phonation,creaky voice,ignored,
̹,phonation,more rounded,ignored,
̜,phonation,less rounded,ignored,
̟,relative articulation,advanced,ignored,
̠,relative articulation,retracted,ignored,
̈,relative articulation,centralized,ignored,
̽,relative articulation,mid-centralized,ignored,
̝,relative articulation,raised,ignored,
̞,relative articulation,lowered,ignored,
̘,tongue root,advanced tongue root,ignored,
̙,tongue root,retracted tongue root,ignored,
̪,articulation,dental,mapped,~
̺,articulation,apical,ignored,
̻,articulation,laminal,ignored,
̃,nasality,nasalized,mapped,&
̩,syllabicity,syllabic,ignored,
̯,syllabicity,non-syllabic,ignored,
ː,length,long,mapped,_
ˑ,length,half-long,ignored,
̆,length,extra-short,ignored,
̚,release,no audible release,mapped,.
ʼ,airstream,ejective,mapped,!
ˈ,stress,primary stress,mapped,^
ˌ,stress,secondary stress,ignored,
˥,tone,extra high,mapped,++
˦,tone,high,mapped,+
˧,tone,mid,mapped,
˨,tone,low,mapped,-
˩,tone,extra low,mapped,--
‖,prosody,major phrase break,ignored,
↗,prosody,global rise,ignored,
↘,prosody,global fall,ignored,
