symbol,height,backness,roundedness
i,close,front,unrounded
y,close,front,rounded
ɨ,close,central,unrounded
ʉ,close,central,rounded
ɯ,close,back,unrounded
u,close,back,rounded
ɪ,near-close,front,unrounded
ʏ,near-close,front,rounded
ʊ,near-close,back,rounded
e,close-mid,front,unrounded
ø,close-mid,front,rounded
ɘ,close-mid,central,unrounded
ɵ,close-mid,central,rounded
ɤ,close-mid,back,unrounded
o,close-mid,back,rounded
e̞,mid,front,unrounded
ø̞,mid,front,rounded
ə,mid,central,unrounded
ɤ̞,mid,back,unrounded
o̞,mid,back,rounded
ɛ,open-mid,front,unrounded
œ,open-mid,front,rounded
ɜ,open-mid,central,unrounded
ɞ,open-mid,central,rounded
ʌ,open-mid,back,unrounded
ɔ,open-mid,back,rounded
æ,near-open,front,unrounded
ɐ,near-open,central,unrounded
a,open,front,unrounded
ɶ,open,front,rounded
ä,open,central,unrounded
ɑ,open,back,unrounded
ɒ,open,back,rounded
